# Slide-15 'Current density of H2O2 production' (Cs2SO4, pH 4, RRDE)
# v2 precision extraction from ORIGINAL VECTOR SVG (not pixel eyeball)
# source_svg: data/EChem Reactor Modeling-Seitz-Mangan/Yash-Trends/Results/experimental only.svg
# source_svg_sha256: 001841c9e436b748aab7b2f59d4b9e09f6186a98936ebe88202c603ea34f2b6e
# data_path: id=path136, stroke #bf00bf, absolute coords, no transforms
# extraction_date: 2026-06-09
# calibration: x ticks -0.50..1.25 step 0.25; y ticks 0.0..-0.6 step -0.1
# calibration_max_residual: x 2.23e-09 V, y 1.05e-09 mA/cm2
# provenance (Yash plotting.ipynb): j_H2O2 = J_ring_LSV_bl*0.11/(0.224*0.196);
#   j_ring<0.001 zeroed (exact-0 tail is THRESHOLDED, not measured 0);
#   V = iR-corrected disk potential vs RHE; 1 outlier deleted; first 1200
#   sorted points plotted; matplotlib path-simplification retains 754.
# sign convention: cathodic negative (as plotted)
V_RHE_V,j_h2o2_mA_cm2
0.35466,-0.06011
0.35637,-0.05803
0.35716,-0.05530
0.35800,-0.05489
0.35880,-0.05360
0.35964,-0.05397
0.36044,-0.05021
0.36131,-0.05170
0.36217,-0.04953
0.36299,-0.04827
0.36467,-0.04594
0.36640,-0.04571
0.36725,-0.04553
0.36815,-0.04434
0.36897,-0.04097
0.36988,-0.04208
0.37160,-0.04055
0.37250,-0.04059
0.37338,-0.03942
0.37512,-0.03524
0.37605,-0.03545
0.37784,-0.03403
0.37874,-0.03536
0.37962,-0.03349
0.38051,-0.03418
0.38142,-0.03151
0.38237,-0.03338
0.38414,-0.03244
0.38511,-0.02845
0.38688,-0.02860
0.38779,-0.03043
0.38874,-0.02764
0.38962,-0.02859
0.39060,-0.02615
0.39146,-0.02804
0.39241,-0.02662
0.39334,-0.02721
0.39423,-0.02458
0.39516,-0.02602
0.39607,-0.02520
0.39800,-0.02401
0.39891,-0.02302
0.39984,-0.02358
0.40076,-0.02266
0.40173,-0.02040
0.40264,-0.02275
0.40358,-0.01987
0.40449,-0.01919
0.40544,-0.01931
0.40637,-0.02077
0.40730,-0.01804
0.40821,-0.01880
0.41014,-0.01897
0.41110,-0.01971
0.41200,-0.01608
0.41388,-0.01604
0.41485,-0.01634
0.41580,-0.01407
0.41680,-0.01598
0.41866,-0.01343
0.41961,-0.01622
0.42054,-0.01258
0.42148,-0.01389
0.42245,-0.01158
0.42339,-0.01368
0.42526,-0.01155
0.42625,-0.01161
0.42718,-0.00991
0.42811,-0.01085
0.42910,-0.00971
0.43005,-0.01090
0.43100,-0.01097
0.43197,-0.01035
0.43292,-0.00844
0.43484,-0.00765
0.43578,-0.00910
0.43677,-0.00716
0.43769,-0.00903
0.43867,-0.00818
0.43962,-0.00800
0.44061,-0.00572
0.44158,-0.00800
0.44258,-0.00688
0.44348,-0.00695
0.44545,-0.00569
0.44638,-0.00607
0.45028,-0.00459
0.45125,-0.00495
0.45221,-0.00521
0.45322,-0.00554
0.45420,-0.00339
0.45518,-0.00376
0.45611,-0.00277
0.45714,-0.00392
0.45806,-0.00267
0.45904,-0.00316
0.46003,-0.00000
0.46100,-0.00347
0.46198,-0.00000
0.46393,-0.00000
0.46486,-0.00278
0.46587,-0.00000
0.48835,-0.00000
0.48933,-0.00000
0.49129,-0.00000
0.49227,-0.00000
0.50110,-0.00000
0.50204,-0.00000
0.50306,-0.00000
0.50407,-0.00000
0.57734,-0.00000
0.57833,-0.00000
0.58820,-0.00000
0.58952,-0.00680
0.59081,-0.00000
0.64858,-0.00000
0.64959,-0.00000
0.69543,-0.00000
0.69543,-0.00000
