# source=data/EChem Reactor Modeling-Seitz-Mangan/Brianna/0,1M K2SO4 data 8-15-19.xlsx sheet='cycle 2' (descending sweep 0:1053 of 2105 rows)
# A_d=0.19634954084936207 cm2, A_r=0.10995574287564275 cm2, N=0.224, Rs=125.0 ohm, ref_cal=-0.549 V
# ring baseline 0.003526 mA/cm2_ring subtracted from j_ring (spread 0.000202, region V_phys [0.60,1.00])
# disk LSV background bg(V) = 0.14112*V + -0.39249 (anchored [0.65,1.00], MAD 0.00099) subtracted: j_disk = j_disk_raw - bg; sig_bg = extrapolation uncertainty
# v_phys = V_cal - I*Rs (physical); v_sheet = V_cal + I*Rs (workbook 'iR New', nonstandard sign)
# j units mA/cm2 (disk: disk area, cathodic-neg; ring: ring area, anodic-pos); pc_equiv = -j_ring*A_r/(N*A_d) [mA/cm2_disk] PLOTS ONLY
v_phys,v_sheet,v_cal,j_disk,j_disk_raw,sig_bg,j_ring_raw,j_ring,pc_equiv,sel_canon,ne_canon
1.0127215,1.0007913,1.0067564,0.0065344942,-0.24304095,0.00099376844,0.0043684701,0.0008425639,-0.0021064097,48.754384,3.0249123
1.011673,0.99981713,1.0057451,0.0081977418,-0.24152568,0.00099376844,0.0037193113,0.00019340503,-0.00048351259,11.139233,3.7772153
1.0107466,0.99878231,1.0047645,0.0061189991,-0.24373515,0.00099376844,0.0040120215,0.00048611525,-0.0012152881,33.139911,3.3372018
1.0096366,0.99772541,1.003681,0.0073577193,-0.24265308,0.00099376844,0.0040765564,0.00055065012,-0.0013766253,31.52212,3.3695576
1.0087243,0.996774,1.0027492,0.0066899136,-0.24344963,0.00099376844,0.0038178245,0.00029191827,-0.00072979569,19.671814,3.6065637
1.0077002,0.99571597,1.0017081,0.0061429145,-0.24414115,0.00099376844,0.0039172199,0.00039131372,-0.00097828429,27.47527,3.4504946
1.0067584,0.99478568,1.000772,0.0065109753,-0.243906,0.00099376844,0.0040257722,0.00049986599,-0.001249665,32.205203,3.3558959
1.0057472,0.99372328,0.99973524,0.0056103827,-0.24494929,0.00099376844,0.0039864906,0.00046058436,-0.0011514609,34.057602,3.318848
1.0047425,0.99270739,0.99872494,0.0055242101,-0.24517725,0.00099376844,0.003619964,9.4057767e-05,-0.00023514442,8.1656518,3.836687
1.0037646,0.99168592,0.99772525,0.0047747633,-0.2460647,0.00099376844,0.0038005354,0.0002746292,-0.000686573,25.14304,3.4971392
1.0027576,0.99070841,0.99673301,0.0055172804,-0.24546429,0.00099376844,0.0037439139,0.00021800767,-0.00054501918,17.980609,3.6403878
1.0018333,0.98971816,0.99577573,0.0043041451,-0.24680786,0.00099376844,0.0034839433,-4.1962911e-05,0.00010490728,-4.9964913,4.0999298
1.000756,0.98869636,0.99472619,0.0055867416,-0.24567729,0.00099376844,0.0034489059,-7.7000293e-05,0.00019250073,-7.1372687,4.1427454
0.99979918,0.98764112,0.99372015,0.0037172059,-0.24768186,0.00099376844,0.003660212,0.00013430577,-0.00033576443,16.568808,3.6686238
0.99877089,0.98665304,0.99271197,0.0046812771,-0.2468629,0.00099376844,0.0038087767,0.00028287049,-0.00070717622,26.247837,3.4750433
0.99781402,0.98562543,0.99171973,0.0033753317,-0.24830388,0.00099376844,0.0038620579,0.00033615167,-0.00084037917,39.868919,3.2026216
0.9968137,0.98467508,0.99074439,0.0045344436,-0.24728594,0.00099376844,0.0037204224,0.00019451619,-0.00048629047,19.37129,3.6125742
0.99585007,0.98363724,0.98974365,0.0031587214,-0.24879765,0.00099376844,0.0036265364,0.0001006302,-0.00025157551,14.753877,3.7049225
0.99482707,0.98267356,0.98875031,0.0045113674,-0.24758937,0.00099376844,0.0037014817,0.00017557547,-0.00043893867,17.733799,3.645324
0.99381844,0.98157468,0.98769656,0.0028152469,-0.24942783,0.00099376844,0.0038774939,0.00035158767,-0.00087896918,47.586236,3.0482753
0.99286154,0.98064033,0.98675094,0.0034096732,-0.24896844,0.00099376844,0.0035809187,5.5012498e-05,-0.00013753125,7.7543455,3.8449131
0.99185111,0.97955804,0.98570458,0.0020884432,-0.25043226,0.00099376844,0.0037846897,0.00025878346,-0.00064695865,47.302641,3.0539472
0.9908487,0.9786354,0.98474205,0.0038549583,-0.24880721,0.00099376844,0.0040867711,0.00056086491,-0.0014021623,53.343356,2.9331329
0.98983148,0.97751537,0.98367343,0.0019039363,-0.25090178,0.00099376844,0.0037904347,0.00026452849,-0.00066132122,51.559831,2.9688034
0.98885609,0.9766292,0.98274264,0.0038592317,-0.24908414,0.00099376844,0.0037435735,0.00021766728,-0.00054416821,24.71582,3.5056836
0.9878653,0.97551868,0.98169199,0.0015599922,-0.2515232,0.00099376844,0.0039701867,0.00044428045,-0.0011107011,83.176986,2.3364603
0.98687669,0.97460132,0.980739,0.0031508263,-0.25007188,0.00099376844,0.0034865703,-3.9335895e-05,9.8339737e-05,-6.4432544,4.1288651
0.98588697,0.97350893,0.97969795,0.0011989601,-0.25216341,0.00099376844,0.0039412691,0.00041536289,-0.0010384072,92.824026,2.1435195
0.98490258,0.97261065,0.97875661,0.003092194,-0.2504091,0.00099376844,0.0037337187,0.00020781247,-0.00051953116,28.769142,3.4246172
0.98395301,0.97154171,0.97774736,0.00079434737,-0.25284095,0.00099376844,0.0036118167,8.5910444e-05,-0.00021477611,42.566864,3.1486627
0.9829436,0.97061319,0.97677839,0.0025846742,-0.25119307,0.00099376844,0.0036487961,0.00012288983,-0.00030722458,21.247257,3.5750549
0.98194409,0.96953911,0.9757416,0.0012067303,-0.25271207,0.00099376844,0.0038970222,0.000371116,-0.00092778999,86.931946,2.2613611
0.98087104,0.96851735,0.9746942,0.0024028558,-0.25166737,0.00099376844,0.0037685864,0.00024268018,-0.00060670046,40.318267,3.1936347
0.97994346,0.9674964,0.97371993,0.00063189204,-0.25356924,0.00099376844,0.0035641389,3.8232681e-05,-9.5581701e-05,26.277705,3.4744459
0.97905405,0.9666515,0.97285277,0.0016639813,-0.25266266,0.00099376844,0.0036309572,0.000105051,-0.00026262751,27.26319,3.4547362
0.97801924,0.96556825,0.97179375,0.00082320367,-0.25364947,0.00099376844,0.0036323574,0.0001064512,-0.00026612799,48.860783,3.0227843
0.97700632,0.9645564,0.97078136,0.00098806203,-0.25362756,0.00099376844,0.0041477484,0.00062184213,-0.0015546053,122.28146,1.5543709
0.97596095,0.96352806,0.96974451,0.0014823879,-0.25328076,0.00099376844,0.0036714715,0.00014556528,-0.00036391321,39.420786,3.2115843
0.97502624,0.96253344,0.96877984,0.00039374111,-0.25450131,0.00099376844,0.0040628223,0.00053691605,-0.0013422901,154.63894,0.90722126
0.9739762,0.96152473,0.96775046,0.0013839724,-0.25365926,0.00099376844,0.003522,-3.9062474e-06,9.7656184e-06,-1.4212735,4.0284255
0.97305488,0.96053137,0.96679312,4.6219765e-05,-0.25512703,0.00099376844,0.0033751997,-0.00015070656,0.0003767664,227.96565,-0.5593131
0.97197374,0.95951782,0.96574578,0.0015758146,-0.25375001,0.00099376844,0.0038417527,0.00031584649,-0.00078961622,66.762994,2.6647401
0.97102031,0.95845704,0.96473867,-0.00047652925,-0.2559369,0.00099376844,0.00390311,0.00037720379,-0.00094300948,132.86139,1.3427721
0.96995546,0.95747793,0.96371669,0.001420489,-0.25419016,0.00099376844,0.0039000931,0.00037418689,-0.00093546723,79.412955,2.4117409
0.96899637,0.95645247,0.96272442,0.00020368593,-0.25554231,0.00099376844,0.0040016399,0.00047573371,-0.0011893343,170.75621,0.58487574
0.9679891,0.95546246,0.96172578,0.00069757007,-0.25519057,0.00099376844,0.0038753978,0.00034949162,-0.00087372904,111.21104,1.7757792
0.96701342,0.95444513,0.96072928,-1.3316919e-05,-0.25603915,0.00099376844,0.0037765503,0.00025064408,-0.0006266102,195.83799,0.083240223
0.96601794,0.95348367,0.95975081,0.00082037418,-0.25534594,0.00099376844,0.0034489372,-7.696906e-05,0.00019242265,-61.285828,5.2257166
0.96500809,0.95236057,0.95868433,-0.0013441624,-0.25765299,0.00099376844,0.0036116044,8.5698165e-05,-0.00021424541,27.495423,3.4500915
0.96403018,0.95144288,0.95773653,2.0505433e-05,-0.25642632,0.00099376844,0.0036704178,0.00014451157,-0.00036127891,189.25811,0.21483786
0.96302091,0.9504083,0.95671461,-0.00035257386,-0.25694183,0.00099376844,0.0035092153,-1.6690883e-05,4.1727208e-05,-26.847455,4.5369491
0.96206944,0.94939646,0.95573295,-0.0014483617,-0.25817189,0.00099376844,0.0038984179,0.00037251169,-0.00093127923,78.270568,2.4345886
0.96101442,0.9484034,0.95470891,-3.7219389e-05,-0.25690964,0.00099376844,0.0039213168,0.00039541054,-0.00098852634,192.74296,0.1451408
0.96006198,0.94740308,0.95373253,-0.00087816026,-0.25788499,0.00099376844,0.0036006495,7.4743309e-05,-0.00018685827,35.090145,3.2981971
0.95900385,0.94641515,0.9527095,0.00070110095,-0.25645505,0.00099376844,0.0038085306,0.00028262433,-0.00070656082,100.38787,1.9922426
0.958107,0.94541228,0.95175964,-0.0013318877,-0.2586146,0.00099376844,0.003639301,0.00011339472,-0.00028348681,35.098587,3.2980283
0.95704731,0.94439625,0.95072178,-0.000293033,-0.25772529,0.00099376844,0.003620531,9.4624726e-05,-0.00023656182,89.336907,2.2132619
0.95607965,0.9433687,0.94972417,-0.0013766327,-0.25894545,0.00099376844,0.0038035775,0.00027767124,-0.00069417811,67.044089,2.6591182
0.95506046,0.94241402,0.94873724,8.149597e-05,-0.25763115,0.00099376844,0.0036298863,0.00010398008,-0.0002599502,152.26424,0.95471529
0.95411648,0.94139676,0.94775662,-0.0012781408,-0.259124,0.00099376844,0.0035509467,2.5040427e-05,-6.2601068e-05,9.3382731,3.8132345
0.95308494,0.94044592,0.94676543,0.00051151583,-0.25747992,0.00099376844,0.0038004423,0.00027453603,-0.00068634007,114.59476,1.7081047
0.95210153,0.93934292,0.94572223,-0.0017860145,-0.25991623,0.00099376844,0.0036102196,8.4313324e-05,-0.00021078331,21.112134,3.5777573
0.95109351,0.93840676,0.94475014,-0.00017974781,-0.25845221,0.00099376844,0.0033148146,-0.00021109167,0.00052772917,303.30887,-2.0661774
0.95006404,0.93730536,0.9436847,-0.0015000187,-0.25991776,0.00099376844,0.0034884565,-3.7449737e-05,9.3624343e-05,-13.314095,4.2662819
0.94910095,0.93636451,0.94273273,-0.00091092207,-0.25946458,0.00099376844,0.0035381594,1.2253145e-05,-3.0632862e-05,6.5068666,3.8698627
0.94810061,0.93536761,0.94173411,-0.00069957292,-0.2593944,0.00099376844,0.0038076267,0.00028172042,-0.00070430106,100.33679,1.9932642
0.94711456,0.93436484,0.9407397,-0.0009012089,-0.25973519,0.00099376844,0.0037080687,0.00018216246,-0.00045540616,67.138597,2.6572281
0.9460459,0.93331753,0.93968171,-0.00031544844,-0.25930024,0.00099376844,0.0035555755,2.9669269e-05,-7.4173174e-05,38.074466,3.2385107
0.9451191,0.93234467,0.93873188,-0.0011231068,-0.26023869,0.00099376844,0.0035331023,7.1960392e-06,-1.7990098e-05,3.1531236,3.9369375
0.94411833,0.93135446,0.9377364,-0.00076663118,-0.26002344,0.00099376844,0.0034938955,-3.2010689e-05,8.0026722e-05,-23.310866,4.4662173
0.94315508,0.93033532,0.9367452,-0.0017692506,-0.261162,0.00099376844,0.0033000022,-0.00022590407,0.00056476018,-93.775782,5.8755156
0.94213855,0.9293737,0.93575612,-0.00050725805,-0.26004346,0.00099376844,0.0034968873,-2.9018934e-05,7.2547335e-05,-33.377293,4.6675459
0.94117775,0.9283139,0.93474582,-0.0023885101,-0.2620603,0.00099376844,0.0038098929,0.00028398667,-0.00070996668,45.826819,3.0834636
0.94015038,0.92739279,0.93377159,-7.8602731e-05,-0.25989538,0.00099376844,0.0037420045,0.00021609822,-0.00054024555,174.59709,0.50805817
0.93913422,0.92628447,0.93270934,-0.0018127438,-0.26177292,0.00099376844,0.0034255007,-0.00010040549,0.00025101371,-32.145594,4.6429119
0.93810217,0.9253383,0.93172023,8.2357998e-05,-0.26002346,0.00099376844,0.0034672212,-5.8685027e-05,0.00014671257,455.95073,-5.1190147
0.93716528,0.92426526,0.93071527,-0.0025590341,-0.26279707,0.00099376844,0.0036340226,0.00010811634,-0.00027029085,19.106385,3.6178723
0.93611054,0.92331424,0.92971239,-0.00029730744,-0.26068419,0.00099376844,0.0038789621,0.00035305589,-0.00088263972,149.60665,1.007867
0.9351454,0.9222673,0.92870635,-0.0018274063,-0.26235049,0.00099376844,0.0035071672,-1.8739029e-05,4.6847573e-05,-5.2621205,4.1052424
0.9341741,0.92134515,0.92775962,-0.00068904778,-0.2613492,0.00099376844,0.0034422252,-8.3680987e-05,0.00020920247,-87.195795,5.7439159
0.93317158,0.92030806,0.92673982,-0.0012518013,-0.26205343,0.00099376844,0.0034203002,-0.00010560605,0.00026401513,-53.455929,5.0691186
0.93215581,0.91930537,0.92573059,-0.00084207813,-0.26178705,0.00099376844,0.0036557332,0.00012982701,-0.00032456752,55.641149,2.887177
0.93117804,0.91832752,0.92475278,-0.000705649,-0.26178861,0.00099376844,0.0034267763,-9.912996e-05,0.0002478249,-108.26206,6.1652412
0.93014167,0.91725084,0.92369625,-0.0013804599,-0.26260967,0.00099376844,0.0037687595,0.00024285329,-0.00060713322,61.092305,2.7781539
0.92918912,0.91632483,0.92275697,-0.00070533047,-0.26206897,0.00099376844,0.0037046349,0.00017872868,-0.00044682171,77.562967,2.4487407
