applied_voltage_v_vs_rhe,peroxide_current_density_mA_cm2,total_current_density_mA_cm2,four_electron_current_density_mA_cm2,ss_steps,ss_converged
-3.087999999999998524e-01,1.174052977827463540e+00,-1.521873945849357090e+00,-2.695926923676820408e+00,2.000000000000000000e+00,1.000000000000000000e+00
-2.968499999999999472e-01,1.114312068210674189e+00,-1.462186872968486151e+00,-2.576498941179160340e+00,2.000000000000000000e+00,1.000000000000000000e+00
-2.848999999999999311e-01,1.058498915182612521e+00,-1.406434420437419064e+00,-2.464933335620031585e+00,2.000000000000000000e+00,1.000000000000000000e+00
-2.729499999999999149e-01,1.085939989938467409e+00,-1.433944907523468038e+00,-2.519884897461935225e+00,2.000000000000000000e+00,1.000000000000000000e+00
-2.609999999999997877e-01,1.240559398166305227e+00,-1.588644639744001719e+00,-2.829204037910306724e+00,2.000000000000000000e+00,1.000000000000000000e+00
-2.490499999999997716e-01,1.357961172367233793e+00,-1.706139714237362437e+00,-3.064100886604596230e+00,3.000000000000000000e+00,1.000000000000000000e+00
-2.370999999999997554e-01,1.442379427379538281e+00,-1.790669033747046557e+00,-3.233048461126585060e+00,3.000000000000000000e+00,1.000000000000000000e+00
-2.251499999999998503e-01,1.460459590386510298e+00,-1.808896193484755166e+00,-3.269355783871265686e+00,2.000000000000000000e+00,1.000000000000000000e+00
-2.131999999999998341e-01,1.415520003077438416e+00,-1.764145543724754628e+00,-3.179665546802192821e+00,3.000000000000000000e+00,1.000000000000000000e+00
-2.012499999999998179e-01,1.364934504565160855e+00,-1.713774244908761846e+00,-3.078708749473922701e+00,3.000000000000000000e+00,1.000000000000000000e+00
-1.892999999999998018e-01,1.307898845344877214e+00,-1.656979553848331177e+00,-2.964878399193208391e+00,3.000000000000000000e+00,1.000000000000000000e+00
-1.773499999999997856e-01,1.245684653455921609e+00,-1.595037804419642491e+00,-2.840722457875564100e+00,3.000000000000000000e+00,1.000000000000000000e+00
-1.653999999999998805e-01,1.179049072962997657e+00,-1.528712063964971613e+00,-2.707761136927969048e+00,3.000000000000000000e+00,1.000000000000000000e+00
-1.534499999999998643e-01,1.109747999890349224e+00,-1.459768855717300529e+00,-2.569516855607649752e+00,3.000000000000000000e+00,1.000000000000000000e+00
-1.414999999999998481e-01,1.036954175037032355e+00,-1.387373347983518190e+00,-2.424327523020550323e+00,4.000000000000000000e+00,1.000000000000000000e+00
-1.295499999999998320e-01,9.616641952319795461e-01,-1.312531621357741152e+00,-2.274195816589720920e+00,4.000000000000000000e+00,1.000000000000000000e+00
-1.175999999999999268e-01,8.848721007319061416e-01,-1.236249307563226374e+00,-2.121121408295132404e+00,4.000000000000000000e+00,1.000000000000000000e+00
-1.056499999999999106e-01,8.075941864655393765e-01,-1.159561252097048856e+00,-1.967155438562588232e+00,4.000000000000000000e+00,1.000000000000000000e+00
-9.369999999999989448e-02,7.307766863070681573e-01,-1.083439794454333249e+00,-1.814216480761401407e+00,5.000000000000000000e+00,1.000000000000000000e+00
-8.174999999999987832e-02,6.553233251978561880e-01,-1.008827176303229933e+00,-1.664150501501086232e+00,5.000000000000000000e+00,1.000000000000000000e+00
-6.979999999999986215e-02,5.819542184270132257e-01,-9.364936316179403031e-01,-1.518447850044953640e+00,5.000000000000000000e+00,1.000000000000000000e+00
-5.784999999999995701e-02,5.112498818484614294e-01,-8.670869668581009382e-01,-1.378336848706562368e+00,5.000000000000000000e+00,1.000000000000000000e+00
-4.589999999999994085e-02,4.436088917403133158e-01,-8.010928581419076711e-01,-1.244701749882221042e+00,6.000000000000000000e+00,1.000000000000000000e+00
-3.394999999999992468e-02,3.793123200072363588e-01,-7.389056956799888720e-01,-1.118218015687225231e+00,6.000000000000000000e+00,1.000000000000000000e+00
-2.199999999999990852e-02,3.184490020879851002e-01,-6.807548211875497080e-01,-9.992038232755348082e-01,6.000000000000000000e+00,1.000000000000000000e+00
