applied_voltage_v_vs_rhe,peroxide_current_density_mA_cm2,total_current_density_mA_cm2,four_electron_current_density_mA_cm2,ss_steps,ss_converged
-3.326999999999998847e-01,1.726932663834518156e+00,-2.074447148162247068e+00,-3.801379811996765223e+00,2.000000000000000000e+00,1.000000000000000000e+00
-3.207499999999999796e-01,1.678513348990335441e+00,-2.026050311547257898e+00,-3.704563660537593339e+00,2.000000000000000000e+00,1.000000000000000000e+00
-3.087999999999998524e-01,1.624283315748060064e+00,-1.971846886687984801e+00,-3.596130202436044865e+00,2.000000000000000000e+00,1.000000000000000000e+00
-2.968499999999999472e-01,1.564822088436244929e+00,-1.912416580677494427e+00,-3.477238669113739356e+00,2.000000000000000000e+00,1.000000000000000000e+00
-2.848999999999999311e-01,1.501107736375871138e+00,-1.848737655573333694e+00,-3.349845391949204831e+00,2.000000000000000000e+00,1.000000000000000000e+00
-2.729499999999999149e-01,1.431652635314563549e+00,-1.779322699931235929e+00,-3.210975335245799478e+00,2.000000000000000000e+00,1.000000000000000000e+00
-2.609999999999997877e-01,1.364652651402729733e+00,-1.712368041230893256e+00,-3.077020692633622989e+00,2.000000000000000000e+00,1.000000000000000000e+00
-2.490499999999997716e-01,1.297556255292958483e+00,-1.645322865203089568e+00,-2.942879120496048273e+00,2.000000000000000000e+00,1.000000000000000000e+00
-2.370999999999997554e-01,1.231866317827249757e+00,-1.579691183254413822e+00,-2.811557501081663801e+00,2.000000000000000000e+00,1.000000000000000000e+00
-2.251499999999998503e-01,1.168825092785257258e+00,-1.516716985731119349e+00,-2.685542078516376385e+00,2.000000000000000000e+00,1.000000000000000000e+00
-2.131999999999998341e-01,1.109289646200505075e+00,-1.457259841955941937e+00,-2.566549488156447012e+00,2.000000000000000000e+00,1.000000000000000000e+00
-2.012499999999998179e-01,1.053673576803993539e+00,-1.401736797132266288e+00,-2.455410373936259827e+00,2.000000000000000000e+00,1.000000000000000000e+00
-1.892999999999998018e-01,1.099202607289923028e+00,-1.447378142444913696e+00,-2.546580749734836502e+00,2.000000000000000000e+00,1.000000000000000000e+00
-1.773499999999997856e-01,1.250011144056209167e+00,-1.598324024506666108e+00,-2.848335168562875275e+00,2.000000000000000000e+00,1.000000000000000000e+00
-1.653999999999998805e-01,1.364235977102300712e+00,-1.712717621979817029e+00,-3.076953599082117741e+00,3.000000000000000000e+00,1.000000000000000000e+00
-1.534499999999998643e-01,1.445439374176865854e+00,-1.794133152344959070e+00,-3.239572526521825147e+00,3.000000000000000000e+00,1.000000000000000000e+00
-1.414999999999998481e-01,1.453927264724345525e+00,-1.802906208736191340e+00,-3.256833473460536865e+00,2.000000000000000000e+00,1.000000000000000000e+00
-1.295499999999998320e-01,1.407970455759385953e+00,-1.757315907915173447e+00,-3.165286363674559400e+00,3.000000000000000000e+00,1.000000000000000000e+00
-1.175999999999999268e-01,1.355527521524996448e+00,-1.705324452897734711e+00,-3.060851974422731381e+00,3.000000000000000000e+00,1.000000000000000000e+00
-1.056499999999999106e-01,1.296623871658617366e+00,-1.646977128903095444e+00,-2.943601000561712588e+00,3.000000000000000000e+00,1.000000000000000000e+00
-9.369999999999989448e-02,1.232277312531556257e+00,-1.583321957335688257e+00,-2.815599269867244736e+00,3.000000000000000000e+00,1.000000000000000000e+00
-8.174999999999987832e-02,1.163262767792112795e+00,-1.515173490722883987e+00,-2.678436258514996560e+00,3.000000000000000000e+00,1.000000000000000000e+00
-6.979999999999986215e-02,1.090980350968440149e+00,-1.443981815066297747e+00,-2.534962166034738118e+00,4.000000000000000000e+00,1.000000000000000000e+00
-5.784999999999995701e-02,1.014770155896122183e+00,-1.369141528684083786e+00,-2.383911684580206192e+00,4.000000000000000000e+00,1.000000000000000000e+00
-4.589999999999994085e-02,9.355082116341916221e-01,-1.291607729400908511e+00,-2.227115941035100022e+00,4.000000000000000000e+00,1.000000000000000000e+00
-3.394999999999992468e-02,8.541479738050450354e-01,-1.212438687320353425e+00,-2.066586661125398461e+00,4.000000000000000000e+00,1.000000000000000000e+00
-2.199999999999990852e-02,7.716539056160675036e-01,-1.132732714053784173e+00,-1.904386619669851566e+00,4.000000000000000000e+00,1.000000000000000000e+00
-1.004999999999989235e-02,6.889384155554760802e-01,-1.053567161141195418e+00,-1.742505576696671499e+00,5.000000000000000000e+00,1.000000000000000000e+00
1.900000000000012790e-03,6.099693589406953720e-01,-9.732527700502846546e-01,-1.583222128990980027e+00,5.000000000000000000e+00,1.000000000000000000e+00
1.385000000000002895e-02,5.260727919320039581e-01,-9.023477295596719072e-01,-1.428420521491675865e+00,5.000000000000000000e+00,1.000000000000000000e+00
2.580000000000004512e-02,4.473465281485125011e-01,-8.321021095897979114e-01,-1.279448637738310524e+00,5.000000000000000000e+00,1.000000000000000000e+00
3.775000000000006128e-02,3.712282809736959233e-01,-7.664648935607394353e-01,-1.137693174534435414e+00,6.000000000000000000e+00,1.000000000000000000e+00
4.970000000000007745e-02,2.982567058969040064e-01,-7.062097778840205065e-01,-1.004466483780924513e+00,6.000000000000000000e+00,1.000000000000000000e+00
6.165000000000009361e-02,2.283143590586204086e-01,-6.533685702120440864e-01,-8.816829292706644949e-01,6.000000000000000000e+00,1.000000000000000000e+00
7.360000000000010978e-02,1.617419713720003871e-01,-6.080447282036935963e-01,-7.697866995756940112e-01,6.000000000000000000e+00,1.000000000000000000e+00
8.555000000000012594e-02,1.011555929013063237e-01,-5.674109235197301038e-01,-6.685665164210363720e-01,7.000000000000000000e+00,1.000000000000000000e+00
9.750000000000003109e-02,3.880248814869726587e-02,-5.407710730047313730e-01,-5.795735611534286180e-01,7.000000000000000000e+00,1.000000000000000000e+00
1.094500000000000473e-01,-1.731907126200924602e-02,-5.179327027706684961e-01,-5.006136315086592292e-01,7.000000000000000000e+00,1.000000000000000000e+00
1.214000000000000634e-01,-7.241973647482201348e-02,-5.045371694272088314e-01,-4.321174329523868041e-01,7.000000000000000000e+00,1.000000000000000000e+00
1.333500000000000796e-01,-1.068171981107735258e+00,-1.440005312839374607e+00,-3.718333317316393494e-01,8.000000000000000000e+00,1.000000000000000000e+00
1.453000000000000957e-01,-1.521383291641155600e+00,-1.840404370598359929e+00,-3.190210789572043293e-01,8.000000000000000000e+00,1.000000000000000000e+00
1.572500000000000009e-01,-1.565745753031358101e+00,-1.838879025996180250e+00,-2.731332729648221491e-01,8.000000000000000000e+00,1.000000000000000000e+00
1.692000000000000171e-01,-1.333754050209605468e+00,-1.566764827945262173e+00,-2.330107777356567045e-01,8.000000000000000000e+00,1.000000000000000000e+00
1.811500000000000332e-01,-1.150301636525898674e+00,-1.347011013738641516e+00,-1.967093772127428419e-01,8.000000000000000000e+00,1.000000000000000000e+00
1.931000000000000494e-01,-9.949891347850201573e-01,-1.159460719029991260e+00,-1.644715842449711030e-01,8.000000000000000000e+00,1.000000000000000000e+00
2.050500000000000100e-01,-9.004511425552220727e-01,-1.036728890517450541e+00,-1.362777479622284682e-01,8.000000000000000000e+00,1.000000000000000000e+00
