applied_voltage_v_vs_rhe,peroxide_current_density_mA_cm2,ss_steps,ss_converged
1.692000000000000171e-01,-4.937575784080240338e-01,3.000000000000000000e+00,1.000000000000000000e+00
1.811500000000000332e-01,-4.856777212273058475e-01,3.000000000000000000e+00,1.000000000000000000e+00
1.931000000000000494e-01,-4.775661046421872946e-01,3.000000000000000000e+00,1.000000000000000000e+00
2.050500000000000100e-01,-4.689543261323111389e-01,3.000000000000000000e+00,1.000000000000000000e+00
2.170000000000000817e-01,-4.612425440301468060e-01,3.000000000000000000e+00,1.000000000000000000e+00
2.289500000000000979e-01,-4.520466824504163483e-01,4.000000000000000000e+00,1.000000000000000000e+00
2.409000000000000585e-01,-4.412643463886626871e-01,4.000000000000000000e+00,1.000000000000000000e+00
2.528500000000000747e-01,-4.287837207676974960e-01,4.000000000000000000e+00,1.000000000000000000e+00
2.648000000000000353e-01,-4.145361231815173353e-01,4.000000000000000000e+00,1.000000000000000000e+00
2.767500000000000515e-01,-3.984788537097711525e-01,5.000000000000000000e+00,1.000000000000000000e+00
2.887000000000000122e-01,-3.806471759474264194e-01,5.000000000000000000e+00,1.000000000000000000e+00
3.006500000000000283e-01,-3.610911993352686755e-01,5.000000000000000000e+00,1.000000000000000000e+00
3.126000000000000445e-01,-3.399094955382015448e-01,6.000000000000000000e+00,1.000000000000000000e+00
3.245500000000000052e-01,-3.172723310052473211e-01,6.000000000000000000e+00,1.000000000000000000e+00
3.365000000000000213e-01,-2.933742545523125855e-01,6.000000000000000000e+00,1.000000000000000000e+00
3.484499999999999820e-01,-2.684639543526760597e-01,6.000000000000000000e+00,1.000000000000000000e+00
3.603999999999999981e-01,-2.428330280233673977e-01,7.000000000000000000e+00,1.000000000000000000e+00
3.723500000000000143e-01,-2.168530847797582595e-01,7.000000000000000000e+00,1.000000000000000000e+00
3.843000000000000305e-01,-1.909388566539088339e-01,7.000000000000000000e+00,1.000000000000000000e+00
3.962499999999999911e-01,-1.655672511481780518e-01,8.000000000000000000e+00,1.000000000000000000e+00
4.082000000000000073e-01,-1.412672956597355589e-01,8.000000000000000000e+00,1.000000000000000000e+00
4.201500000000000234e-01,-1.185476391738632534e-01,8.000000000000000000e+00,1.000000000000000000e+00
4.320999999999999841e-01,-9.785319518191874788e-02,8.000000000000000000e+00,1.000000000000000000e+00
4.440500000000000003e-01,-7.950322028829602539e-02,8.000000000000000000e+00,1.000000000000000000e+00
4.560000000000000164e-01,-6.365581996754843264e-02,8.000000000000000000e+00,1.000000000000000000e+00
4.679499999999999771e-01,-5.030479104774043114e-02,8.000000000000000000e+00,1.000000000000000000e+00
4.798999999999999932e-01,-3.930573541097636542e-02,8.000000000000000000e+00,1.000000000000000000e+00
4.918500000000000094e-01,-3.041916130157934148e-02,8.000000000000000000e+00,1.000000000000000000e+00
5.038000000000000256e-01,-2.335649042256043861e-02,8.000000000000000000e+00,1.000000000000000000e+00
5.157499999999999307e-01,-1.781877395990768415e-02,8.000000000000000000e+00,1.000000000000000000e+00
5.276999999999999469e-01,-1.352388452888405625e-02,7.000000000000000000e+00,1.000000000000000000e+00
5.396499999999999631e-01,-1.022071050623049246e-02,7.000000000000000000e+00,1.000000000000000000e+00
5.515999999999999792e-01,-7.697069738118990367e-03,7.000000000000000000e+00,1.000000000000000000e+00
5.635499999999999954e-01,-5.778347031826520236e-03,7.000000000000000000e+00,1.000000000000000000e+00
5.755000000000000115e-01,-4.324565850868143137e-03,6.000000000000000000e+00,1.000000000000000000e+00
5.874500000000000277e-01,-3.225241059577333303e-03,6.000000000000000000e+00,1.000000000000000000e+00
5.993999999999999329e-01,-2.394649649879741597e-03,6.000000000000000000e+00,1.000000000000000000e+00
6.113499999999999490e-01,-1.766660610079825175e-03,6.000000000000000000e+00,1.000000000000000000e+00
6.232999999999999652e-01,-1.290651817131514226e-03,6.000000000000000000e+00,1.000000000000000000e+00
6.352499999999999813e-01,-9.280402563166559272e-04,5.000000000000000000e+00,1.000000000000000000e+00
6.471999999999999975e-01,-6.494469772048624143e-04,5.000000000000000000e+00,1.000000000000000000e+00
6.591499999999999027e-01,-4.325367522611470584e-04,5.000000000000000000e+00,1.000000000000000000e+00
6.710999999999999188e-01,-2.602473974719065881e-04,5.000000000000000000e+00,1.000000000000000000e+00
6.830499999999999350e-01,-1.194662188838159771e-04,5.000000000000000000e+00,1.000000000000000000e+00
7.643750000000000266e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.337499999999999911e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.031249999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.724999999999999201e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.041875000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.111250000000000071e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.180625000000000036e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.250000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
