eta_hat,V_RHE,I_peroxide_mA_cm2,I_total_mA_cm2,ss_steps,ss_converged,R1,R2,c_O2_electrode,c_HP_electrode
-1.116275992643385884e+01,4.082000000000000073e-01,-2.978332482230104383e-01,-3.611493609981976105e-01,1.000000000000000000e+01,1.000000000000000000e+00,8.986675533916523850e-01,8.634542909287479251e-02,1.013410776672537539e-01,7.159989291555743929e-01
-1.209298992030334752e+01,3.842999999999999750e-01,-3.012571719875470344e-01,-3.633427010299036253e-01,1.000000000000000000e+01,1.000000000000000000e+00,9.063279265819110808e-01,8.466725783774357861e-02,9.368283704807459089e-02,5.586674993409795897e-01
-1.302321991417283442e+01,3.603999999999999981e-01,-3.045041611241741664e-01,-3.650877106529885618e-01,1.000000000000000000e+01,1.000000000000000000e+00,9.131356135362396209e-01,8.261897881521435005e-02,8.687605755846866673e-02,4.350106210392723494e-01
-1.395344990804232310e+01,3.365000000000000213e-01,-3.075904616865913210e-01,-3.665678785226706426e-01,1.000000000000000000e+01,1.000000000000000000e+00,9.193629964080951567e-01,8.042866405241894112e-02,8.064877016386036435e-02,3.384324188727179661e-01
-1.488367990191181178e+01,3.125999999999999890e-01,-3.105235324972627220e-01,-3.678794834087725230e-01,1.000000000000000000e+01,1.000000000000000000e+00,9.251515441937011586e-01,7.821743905960328036e-02,7.485983089127087875e-02,2.632426481082887904e-01
-1.581390989578130046e+01,2.887000000000000122e-01,-3.133076926661518824e-01,-3.690747276196360560e-01,1.000000000000000000e+01,1.000000000000000000e+00,9.305783362635778877e-01,7.605060309676762997e-02,6.943237257525337880e-02,2.047941607249805507e-01
-1.674413988965078914e+01,2.647999999999999798e-01,-3.159460917557786463e-01,-3.701834528483062270e-01,1.000000000000000000e+01,1.000000000000000000e+00,9.356883634422281659e-01,7.396455674762696109e-02,6.432153581291724653e-02,1.593888231996376526e-01
-1.767436988352027782e+01,2.409000000000000030e-01,-3.184446872629444480e-01,-3.712238221320076637e-01,9.000000000000000000e+00,1.000000000000000000e+00,9.405145193766109024e-01,7.197594494786947739e-02,5.950197835207267361e-02,1.241183715096272344e-01
-1.860459987738976650e+01,2.169999999999999707e-01,-3.207991769557654860e-01,-3.722076307388124117e-01,9.000000000000000000e+00,1.000000000000000000e+00,9.450670224676432918e-01,7.010672017499387787e-02,5.494789438542090759e-02,9.672159233620920837e-02
-1.953482987125925163e+01,1.931000000000000494e-01,-3.230154547080788530e-01,-3.731430314889589428e-01,9.000000000000000000e+00,1.000000000000000000e+00,9.493650284684844731e-01,6.835996299866535508e-02,5.064834300516184856e-02,7.543107441274751745e-02
-2.046505986512874031e+01,1.692000000000000171e-01,-3.251006773606407996e-01,-3.740360277923153176e-01,8.000000000000000000e+00,1.000000000000000000e+00,9.534264842719127886e-01,6.673410046248121064e-02,4.659606925619325796e-02,5.887539884085185582e-02
-2.139528985899822899e+01,1.452999999999999847e-01,-3.270470787866550100e-01,-3.748912971921512516e-01,8.000000000000000000e+00,1.000000000000000000e+00,9.572471779157876171e-01,6.524610224420991644e-02,4.277289235826027547e-02,4.599823569522473732e-02
-2.232551985286771767e+01,1.214000000000000634e-01,-3.288620579525787790e-01,-3.757127484036332787e-01,8.000000000000000000e+00,1.000000000000000000e+00,9.608425299080817217e-01,6.389120861947600316e-02,3.917515762645465416e-02,3.597349578934243286e-02
-2.325574984673720635e+01,9.750000000000003109e-02,-3.305549312531012029e-01,-3.765038446178583520e-01,7.000000000000000000e+00,1.000000000000000000e+00,9.642299680214421187e-01,6.266143745934590892e-02,3.580055410248122322e-02,2.816149839508399685e-02
-2.418597984060669503e+01,7.359999999999999876e-02,-3.321128595655121196e-01,-3.772676352570564218e-01,7.000000000000000000e+00,1.000000000000000000e+00,9.673961418486562991e-01,6.157845628525132620e-02,3.263065778105792014e-02,2.207231729212424248e-02
-2.511620983447618372e+01,4.969999999999996643e-02,-3.335456024574554590e-01,-3.780070816542572820e-01,7.000000000000000000e+00,1.000000000000000000e+00,9.703583991323283531e-01,6.063299421085523166e-02,2.966483802421474719e-02,1.732016623718342710e-02
-2.604643982834566884e+01,2.580000000000004512e-02,-3.348659366226163780e-01,-3.787250844999552335e-01,6.000000000000000000e+00,1.000000000000000000e+00,9.731381194298047710e-01,5.981158313624015954e-02,2.690311581329319496e-02,1.360633487900972383e-02
-2.697666982221515752e+01,1.900000000000123812e-03,-3.360535479380428181e-01,-3.794238512491390769e-01,6.000000000000000000e+00,1.000000000000000000e+00,9.757106103216334203e-01,5.914493618048331791e-02,2.432517395305663216e-02,1.070374949944904834e-02
