applied_voltage_v_vs_rhe,peroxide_current_density_mA_cm2,ss_steps,ss_converged
2.580000000000004512e-02,-5.192410536455256409e-01,3.000000000000000000e+00,1.000000000000000000e+00
4.970000000000007745e-02,-5.037280847216023538e-01,3.000000000000000000e+00,1.000000000000000000e+00
7.360000000000010978e-02,-4.863989538298859605e-01,4.000000000000000000e+00,1.000000000000000000e+00
9.750000000000003109e-02,-4.684849784157701924e-01,4.000000000000000000e+00,1.000000000000000000e+00
1.214000000000000634e-01,-4.437591061728960451e-01,5.000000000000000000e+00,1.000000000000000000e+00
1.453000000000000957e-01,-4.115351977824658891e-01,5.000000000000000000e+00,1.000000000000000000e+00
1.692000000000000171e-01,-3.717525124059239405e-01,6.000000000000000000e+00,1.000000000000000000e+00
1.931000000000000494e-01,-3.251905388072713898e-01,6.000000000000000000e+00,1.000000000000000000e+00
2.170000000000000817e-01,-2.734120539094970770e-01,7.000000000000000000e+00,1.000000000000000000e+00
2.409000000000000585e-01,-2.188789596218884415e-01,7.000000000000000000e+00,1.000000000000000000e+00
2.648000000000000353e-01,-1.650761532281595778e-01,8.000000000000000000e+00,1.000000000000000000e+00
2.887000000000000122e-01,-1.164222459107964042e-01,8.000000000000000000e+00,1.000000000000000000e+00
3.126000000000000445e-01,-7.684145695097635564e-02,8.000000000000000000e+00,1.000000000000000000e+00
3.365000000000000213e-01,-4.793719899565731385e-02,8.000000000000000000e+00,1.000000000000000000e+00
3.603999999999999981e-01,-2.867992085557037607e-02,8.000000000000000000e+00,1.000000000000000000e+00
3.843000000000000305e-01,-1.668566029473379439e-02,7.000000000000000000e+00,1.000000000000000000e+00
4.082000000000000073e-01,-9.539587303398001580e-03,7.000000000000000000e+00,1.000000000000000000e+00
4.320999999999999841e-01,-5.397852644760748123e-03,6.000000000000000000e+00,1.000000000000000000e+00
4.560000000000000164e-01,-3.035865078157930653e-03,6.000000000000000000e+00,1.000000000000000000e+00
4.798999999999999932e-01,-1.701497492377204712e-03,5.000000000000000000e+00,1.000000000000000000e+00
5.038000000000000256e-01,-9.515854250761003131e-04,4.000000000000000000e+00,1.000000000000000000e+00
5.276999999999999469e-01,-5.313107590951196687e-04,4.000000000000000000e+00,1.000000000000000000e+00
5.515999999999999792e-01,-2.960613224137014464e-04,3.000000000000000000e+00,1.000000000000000000e+00
5.755000000000000115e-01,-1.643370553775590334e-04,3.000000000000000000e+00,1.000000000000000000e+00
5.993999999999999329e-01,-9.036004237282761352e-05,2.000000000000000000e+00,1.000000000000000000e+00
6.232999999999999652e-01,-4.851298874583947454e-05,2.000000000000000000e+00,1.000000000000000000e+00
6.471999999999999975e-01,-2.435696350384590318e-05,2.000000000000000000e+00,1.000000000000000000e+00
6.710999999999999188e-01,-9.746474075337903322e-06,2.000000000000000000e+00,1.000000000000000000e+00
7.643750000000000266e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.337499999999999911e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.031249999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.724999999999999201e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.041875000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.111250000000000071e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.180625000000000036e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.250000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
