applied_voltage_v_vs_rhe,peroxide_current_density_mA_cm2,ss_steps,ss_converged
4.440500000000000003e-01,-7.466227720103990606e-02,8.000000000000000000e+00,1.000000000000000000e+00
4.560000000000000164e-01,-5.920755658811700795e-02,8.000000000000000000e+00,1.000000000000000000e+00
4.679499999999999771e-01,-4.638816859720830410e-02,8.000000000000000000e+00,1.000000000000000000e+00
4.798999999999999932e-01,-3.597640125603411565e-02,8.000000000000000000e+00,1.000000000000000000e+00
4.918500000000000094e-01,-2.766892409843644055e-02,8.000000000000000000e+00,1.000000000000000000e+00
5.038000000000000256e-01,-2.113659675210310604e-02,7.000000000000000000e+00,1.000000000000000000e+00
5.157499999999999307e-01,-1.605902937568194286e-02,7.000000000000000000e+00,1.000000000000000000e+00
5.276999999999999469e-01,-1.214857342178557974e-02,7.000000000000000000e+00,1.000000000000000000e+00
5.396499999999999631e-01,-9.158156576584183806e-03,7.000000000000000000e+00,1.000000000000000000e+00
5.515999999999999792e-01,-6.883543358909005594e-03,6.000000000000000000e+00,1.000000000000000000e+00
5.635499999999999954e-01,-5.159894453751897106e-03,6.000000000000000000e+00,1.000000000000000000e+00
5.755000000000000115e-01,-3.857261939932089909e-03,6.000000000000000000e+00,1.000000000000000000e+00
5.874500000000000277e-01,-2.874253850065811803e-03,6.000000000000000000e+00,1.000000000000000000e+00
5.993999999999999329e-01,-2.132663047114755593e-03,6.000000000000000000e+00,1.000000000000000000e+00
6.113499999999999490e-01,-1.572617827006243764e-03,5.000000000000000000e+00,1.000000000000000000e+00
6.232999999999999652e-01,-1.148462630802191782e-03,5.000000000000000000e+00,1.000000000000000000e+00
6.352499999999999813e-01,-8.255592290939954168e-04,5.000000000000000000e+00,1.000000000000000000e+00
6.471999999999999975e-01,-5.776068685964400387e-04,5.000000000000000000e+00,1.000000000000000000e+00
6.591499999999999027e-01,-3.846276581759381372e-04,5.000000000000000000e+00,1.000000000000000000e+00
6.710999999999999188e-01,-2.313921521251033906e-04,5.000000000000000000e+00,1.000000000000000000e+00
6.830499999999999350e-01,-1.062100482919454627e-04,4.000000000000000000e+00,1.000000000000000000e+00
7.643750000000000266e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.337499999999999911e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.031249999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.724999999999999201e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.041875000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.111250000000000071e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.180625000000000036e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.250000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
