evaluation,iteration,point_index,phi_applied,target_flux,simulated_flux,point_objective,converged,steps_taken,final_relative_change,final_absolute_change,diagnostics_valid,reason,dJ_dk0_0,dJ_dk0_1,dJ_dk0_2,dJ_dk0_3,dJ_dk0_4,dJ_dk0_5,dJ_dk0_6,dJ_dk0_7
1,0,0,5.0,nan,nan,0.0,0,0,nan,nan,0,target NaN (skipped),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,3.0,-0.0019248655010319711,nan,1000000000.0,0,1,nan,nan,0,"Error: error code 91
[0] SNESSolve() at /Users/jakeweinstein/Desktop/ResearchForwardSolverClone/FireDrakeEnvCG/petsc/src/snes/interface/snes.c:4919
[0] SNESSolve has not converged",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,10,-3.0,-0.07062632658911619,-0.08452433001640722,9.657724963249388e-05,1,9,0.0,0.0,1,,0.032940754413016256,0.020410188279254268,0.0004941113161952435,3.061528241888132e-05,-0.0005560570562939444,0.0009057124360817876,0.001087599512514473,-0.00023952788743542176
1,0,11,-4.0,-0.11374410566656826,-0.11832954264046795,1.0513116120803197e-05,1,9,0.0,0.0,1,,0.007055057522822151,0.006001159074581001,0.000141101150456443,1.2002318149162017e-05,-0.00030847750486054566,0.0003862906354893408,0.00025409320804999926,-8.868457509064445e-05
1,0,12,-5.0,-0.13529687004182023,-0.14071116127427838,1.465727477493931e-05,1,9,0.0,0.0,1,,0.005345412714135434,0.004212035692497597,0.0001336353178533854,1.0530089231243956e-05,-0.0004486999814452933,0.00047660620556700734,0.00014482381013376826,-0.00011292686023509328
1,0,13,-6.5,-0.16231323682892557,-0.1595335558819936,3.863313083371277e-06,1,9,0.0,0.0,1,,-0.0015558129831351327,0.0008378796574185524,-5.056392195189318e-05,2.7231088866101785e-06,0.00026287435135676054,-0.00024327469106871904,7.696291342521138e-06,6.284477782446206e-05
1,0,14,-8.0,-0.16981444188710207,-0.1684289198452856,9.598356641794053e-07,1,8,0.0,0.0,1,,-0.0004926698825291593,0.0013269663819441874,-1.970679530116658e-05,5.3078655277767635e-06,0.00013660208718532888,-0.00011996450456739487,2.2030553666495244e-05,3.233760655708389e-05
1,0,15,-10.0,-0.1747685287527713,-0.1734993896738193,8.053570008615128e-07,1,8,0.0,0.0,1,,-0.00031241537635723544,0.0018081847167310348,-1.562076881786108e-05,9.040923583655233e-06,0.00012875989335120233,-0.00011189239493639457,2.7743848874327467e-05,3.027054337293614e-05
1,0,16,-13.0,-0.17783755579113814,-0.17638018362976135,1.0619668083781833e-06,1,7,0.0,0.0,1,,-0.0002764251561490808,0.002182558314807309,-1.7967635149690806e-05,1.4186629046247657e-05,0.000150995679473059,-0.00013394544178893622,3.445093584345168e-05,3.506436904329117e-05
1,0,17,-17.0,-0.18027428486837335,-0.17835373644798064,1.8442531175374887e-06,1,6,4.1622981436868265e-06,7.423614261370393e-07,1,,-0.00030406823561127035,0.002588386311793892,-2.5845800026958154e-05,2.2001283650248016e-05,0.00020332375977081274,-0.0001866017525764247,4.620395730344444e-05,4.643088238043142e-05
1,0,18,-22.0,-0.1826748221490028,-0.18018682522139814,3.095064355884818e-06,1,6,4.641197664336704e-06,8.362826723617989e-07,1,,-0.00032999139157141496,0.0028932865902514876,-3.629905307285592e-05,3.18261524927658e-05,0.0002706037793397077,-0.0002574951470190275,6.0587494203899634e-05,6.0674238982457266e-05
1,0,19,-28.0,-0.18435711908892516,-0.18199171008512693,2.797579877623082e-06,1,6,4.412128565036605e-06,8.029708226664489e-07,1,,-0.00024757813531819863,0.0022387727827031896,-3.466093894454912e-05,3.134281895784445e-05,0.0002640618810948815,-0.0002597404484092373,5.815273276494969e-05,5.8175387231585946e-05
