sample_idx,k0_1,k0_2,alpha_1,alpha_2,nn_ensemble_cd_nrmse,nn_ensemble_pc_nrmse,rbf_baseline_cd_nrmse,rbf_baseline_pc_nrmse,pod_rbf_log_cd_nrmse,pod_rbf_log_pc_nrmse,pod_rbf_nolog_cd_nrmse,pod_rbf_nolog_pc_nrmse,gp_fixed_cd_nrmse,gp_fixed_pc_nrmse,pce_cd_nrmse,pce_pc_nrmse
769,0.00012682374870481375,7.997884858497336e-06,0.39180137933740256,0.5846289846277134,0.013889321251873738,0.03161012409382844,0.0006568769041145107,0.007524495121944258,0.006947472079410024,0.023830849682989107,0.007325355945826221,0.029588336819972368,0.002871753116095713,0.016017256826616477,0.011650053920311959,0.28529994408897286
3192,0.07986621840921722,0.002728525203975017,0.2143133127466278,0.2987271141486492,0.015715269397069263,0.011010668766168151,0.03882681339921849,0.027363085145405062,0.017945972936441953,0.0265940367571275,0.015081933005725108,0.030908812596425243,0.013677311253158977,0.014119344450829279,0.028362602537336322,0.07207734777846996
1893,0.013317876869512262,0.028800669936394335,0.1464950565721438,0.6633233907794728,0.04020664120498982,0.3030016570891538,0.07206763524825874,0.4884452756582691,0.047445506345115775,0.29441996508787427,0.04751479312546678,0.29950863303961284,0.03827746279524587,0.305585637159479,0.04088158421021122,0.6733232509760853
993,0.4789214576619695,0.0014513961337184894,0.3861067149506082,0.5576512743108207,0.0038630999986737163,0.009573644327630642,0.003807335395303876,0.009700735586090197,0.008487749062664876,0.016963945047695758,0.008825266531899873,0.016253419327987403,0.00982822868869555,0.0051321468784742445,0.0317756300222309,0.05271368538626366
481,0.11225887994137994,5.251493120700839e-07,0.7147675871564717,0.7790069064033136,0.05537790403068713,0.05058695735668898,0.030864100534389857,0.03521883679208682,0.015229643968867385,0.01821107496278748,0.014324912153719841,0.0167381935406325,0.09318800191288486,0.0030278670774925203,0.10010319638053622,0.1486051717002567
1277,6.967780646125672e-06,0.00033937904748377386,0.5250531841462939,0.4434336328244888,0.026710635828446815,0.056281376422528825,0.012406128047599767,0.26494062386277745,0.0638692937421216,0.31351283324967655,0.06359807807051232,0.33420596198943237,0.03294843386610783,0.18572904993613965,0.025326036158002576,0.7290340522766878
1779,3.641911238145254e-06,4.118979122507667e-06,0.5087183497138226,0.47556743779902433,0.017783574442155645,0.0353326134972784,0.0027838785732260635,0.01867501528536847,0.012137518588988497,0.024307883566743904,0.012282031791168848,0.022849006331738832,0.012326389931346434,0.01808767023161327,0.008971988972531894,0.22233625990209926
2956,0.057244659208868044,1.3188660797269431e-05,0.21052137476125404,0.6519216223836344,0.0053663448059256295,0.020696457470490363,0.004274290197931947,0.005759522606366498,0.009125817888904915,0.009284985007695503,0.006806256530413819,0.013182199034044766,0.0027935096082476554,0.003704633315215922,0.05270888723741661,0.07943872657967886
3472,0.8569020740830489,1.5857056867374403e-07,0.16233247904937437,0.3305997516578557,0.14046749456516475,0.13341395302927928,0.16591268684602087,0.16031857080689396,0.144101919203689,0.15208584060455296,0.14424317793781788,0.14002055526648832,0.1513528989881498,0.13683556357434545,0.1621768781585776,0.16307985627607455
1026,0.001194806306062363,2.1908539039154385e-05,0.711779034704632,0.40071766737270453,0.004044902869440606,0.008387794823786387,0.0013469909808506153,0.0013955626551878722,0.006590882102142038,0.006761863847118754,0.0068790908680157435,0.006437100196767869,0.0029173633859431018,0.0009004337117106912,0.0468082091145564,0.07431121486032619
1223,2.3034684585764667e-05,0.024675765387338972,0.4868302011307527,0.14336252088076298,0.00814143793015207,0.04456719923989276,0.015255808918364944,0.03291578662826251,0.011969725273368316,0.05588211594212642,0.01329008816924791,0.05712444322259154,0.012586980441252494,0.018128443693922473,0.048430445820955126,0.1709750650883641
2502,0.009501642706537996,3.336342665898308e-05,0.46917904765859764,0.5904184198141276,0.004170673981343139,0.0223814775964029,0.01692133172534031,0.014546920835868601,0.003979978858358352,0.027924544301587792,0.003586981959706622,0.030504921838819817,0.007630782088496168,0.020890281085535024,0.010295037343358071,0.13655410120049574
