eta_hat,V_RHE,I_peroxide_mA_cm2,I_total_mA_cm2,ss_steps,ss_converged,R1,R2,c_O2_electrode,c_HP_electrode
-1.023252993256437016e+01,4.320999999999999841e-01,-1.498255539225617217e-01,-2.530291971523838668e-01,1.700000000000000000e+01,1.000000000000000000e+00,7.141952382220698725e-01,1.829630912015633437e-01,2.852641187665737599e-01,4.530099661322037718e+01
-1.116275992643385884e+01,4.082000000000000073e-01,-1.461878801522250582e-01,-2.634390230994607673e-01,1.500000000000000000e+01,1.000000000000000000e+00,7.262011505868549710e-01,2.078669985784337149e-01,2.733976424482943979e-01,3.869273385958212685e+01
-1.209298992030334752e+01,3.842999999999999750e-01,-1.421267318309478722e-01,-2.697605380257554475e-01,1.400000000000000000e+01,1.000000000000000000e+00,7.302084089389834221e-01,2.262737534489990820e-01,2.695213932108564414e-01,3.240983216839495640e+01
-1.302321991417283442e+01,3.603999999999999981e-01,-1.379844866610540899e-01,-2.736655345280473162e-01,1.400000000000000000e+01,1.000000000000000000e+00,7.297878060586060478e-01,2.405401898451481335e-01,2.700401924308795665e-01,2.685383945548498019e+01
-1.395344990804232310e+01,3.365000000000000213e-01,-1.338426485783391628e-01,-2.761912448749674898e-01,1.300000000000000000e+01,1.000000000000000000e+00,7.269226772989640928e-01,2.523606569647590669e-01,2.729748400218492965e-01,2.212029862603652930e+01
-1.488367990191181178e+01,3.125999999999999890e-01,-1.297121318758635289e-01,-2.779454255806165230e-01,1.200000000000000000e+01,1.000000000000000000e+00,7.227098242822858065e-01,2.627932579358184251e-01,2.772325589247620625e-01,1.816515880633068747e+01
-1.581390989578130046e+01,2.887000000000000122e-01,-1.255910649848802352e-01,-2.792681188470500508e-01,1.200000000000000000e+01,1.000000000000000000e+00,7.177487679410441412e-01,2.724441496581475053e-01,2.822200529375300526e-01,1.489355267276822481e+01
-1.674413988965078914e+01,2.647999999999999798e-01,-1.214755845061770978e-01,-2.803433810950184402e-01,1.200000000000000000e+01,1.000000000000000000e+00,7.123589608759595126e-01,2.816464830756699733e-01,2.876261337479428803e-01,1.220115853354197988e+01
-1.767436988352027782e+01,2.409000000000000030e-01,-1.173662457399378828e-01,-2.812695695147706676e-01,1.200000000000000000e+01,1.000000000000000000e+00,7.067157586698546989e-01,2.905736448593566612e-01,2.932794479435320567e-01,9.991393608232099766e+00
-1.860459987738976650e+01,2.169999999999999707e-01,-1.132641770576427870e-01,-2.820998777000751079e-01,1.100000000000000000e+01,1.000000000000000000e+00,7.009154652357600934e-01,2.993179380880119367e-01,2.990877909175588267e-01,8.180265517327084623e+00
-1.953482987125925163e+01,1.931000000000000494e-01,-1.091777335884440286e-01,-2.828640814997269159e-01,1.100000000000000000e+01,1.000000000000000000e+00,6.950256805282651884e-01,3.079173381756715178e-01,3.049819538421950638e-01,6.697193870238126401e+00
-2.046505986512874031e+01,1.692000000000000171e-01,-1.051104236121002816e-01,-2.835797295344836821e-01,1.100000000000000000e+01,1.000000000000000000e+00,6.890837349699111547e-01,3.163967363384812548e-01,3.109267677520544670e-01,5.483220066215602984e+00
-2.139528985899822899e+01,1.452999999999999847e-01,-1.010681665970185605e-01,-2.842577801013339567e-01,1.100000000000000000e+01,1.000000000000000000e+00,6.831195500637838869e-01,3.247650655910565010e-01,3.168929140323367699e-01,4.489750458464982330e+00
-2.232551985286771767e+01,1.214000000000000634e-01,-9.705716432721173126e-02,-2.849054833734374625e-01,1.100000000000000000e+01,1.000000000000000000e+00,6.771569739182442538e-01,3.330241845549833934e-01,3.228568551986648050e-01,3.676820680156844823e+00
-2.325574984673720635e+01,9.750000000000003109e-02,-9.308073850077519529e-02,-2.855278929261817478e-01,1.000000000000000000e+01,1.000000000000000000e+00,6.712108545161555861e-01,3.411771635639540556e-01,3.288059767540670864e-01,3.011589897179074438e+00
-2.418597984060669503e+01,7.359999999999999876e-02,-8.915140063919431423e-02,-2.861286756132934150e-01,1.000000000000000000e+01,1.000000000000000000e+00,6.653098734567982619e-01,3.492083224762297378e-01,3.347081985133802395e-01,2.467282248624120378e+00
-2.511620983447618372e+01,4.969999999999996643e-02,-8.527242827763298338e-02,-2.867106004815167530e-01,1.000000000000000000e+01,1.000000000000000000e+00,6.594647503357458085e-01,3.571167598254458286e-01,3.405541490134990079e-01,2.021839797185043697e+00
-2.604643982834566884e+01,2.580000000000004512e-02,-8.145009230590785632e-02,-2.872758080012246529e-01,1.000000000000000000e+01,1.000000000000000000e+00,6.536903971116588830e-01,3.648951530570319624e-01,3.463291651539573968e-01,1.657255999378717926e+00
-2.697666982221515752e+01,1.900000000000123812e-03,-7.768560392129916781e-02,-2.878259953008551197e-01,9.000000000000000000e+00,1.000000000000000000e+00,6.479919697678633295e-01,3.725443636470367470e-01,3.520299338382796850e-01,1.358773529042412553e+00
-2.790689981608464620e+01,-2.199999999999990852e-02,-7.399500933142970360e-02,-2.883625122786580008e-01,9.000000000000000000e+00,1.000000000000000000e+00,6.424003087398871825e-01,3.800383374552377957e-01,3.576230213582331507e-01,1.114412708056138346e+00
-2.883712980995413488e+01,-4.589999999999994085e-02,-7.037897428739402217e-02,-2.888864709873036341e-01,9.000000000000000000e+00,1.000000000000000000e+00,6.369185657815078505e-01,3.873778657009504522e-01,3.631056522272563813e-01,9.142922996823982240e-01
-2.976735980382362357e+01,-6.979999999999997318e-02,-6.684295930869169067e-02,-2.893987812151408434e-01,9.000000000000000000e+00,1.000000000000000000e+00,6.315580344011653136e-01,3.945548806860536550e-01,3.684669419896519083e-01,7.503614059822204529e-01
-3.069758979769311225e+01,-9.370000000000000551e-02,-6.339214449185874567e-02,-2.899001958127662704e-01,9.000000000000000000e+00,1.000000000000000000e+00,6.263292327386593694e-01,4.015615336314034001e-01,3.736963877030188286e-01,6.160391718237605563e-01
-3.162781979156260093e+01,-1.175999999999999268e-01,-6.002371383132043547e-02,-2.903913507615353828e-01,8.000000000000000000e+00,1.000000000000000000e+00,6.212282959694780393e-01,4.084039443422677329e-01,3.787992078724315426e-01,5.059302465777367752e-01
-3.255804978543208961e+01,-1.414999999999999591e-01,-5.675778383649515701e-02,-2.908727494145763037e-01,8.000000000000000000e+00,1.000000000000000000e+00,6.162917797196980629e-01,4.150473419172444611e-01,3.837378650569489014e-01,4.156696899657451039e-01
-3.348827977930157829e+01,-1.653999999999999915e-01,-5.359042338935949418e-02,-2.913448401233275087e-01,8.000000000000000000e+00,1.000000000000000000e+00,6.115135096167841899e-01,4.214994904356385019e-01,3.885172744484605700e-01,3.416434661674312978e-01
-3.441850977317106697e+01,-1.893000000000000238e-01,-5.052515683981625289e-02,-2.918079924190015717e-01,8.000000000000000000e+00,1.000000000000000000e+00,6.069003888717408035e-01,4.277547969226120905e-01,3.931313150053603045e-01,2.809103516302859926e-01
-3.534873976704055565e+01,-2.131999999999999451e-01,-4.756508129642729454e-02,-2.922625198971390281e-01,8.000000000000000000e+00,1.000000000000000000e+00,6.024584641021698550e-01,4.338083266672300708e-01,3.975739764702005963e-01,2.310653808450208457e-01
-3.627896976091004433e+01,-2.370999999999999774e-01,-4.471279469622051195e-02,-2.927086923967055498e-01,8.000000000000000000e+00,1.000000000000000000e+00,5.981928194034020763e-01,4.396559523344028553e-01,4.018401762400815036e-01,1.901413328739414432e-01
-3.720919975477953301e+01,-2.610000000000000098e-01,-4.195953395639916150e-02,-2.931467725077551156e-01,7.000000000000000000e+00,1.000000000000000000e+00,5.940883847994145039e-01,4.453136749581371179e-01,4.059458356639524812e-01,1.565223248682127144e-01
-3.813942974864901458e+01,-2.848999999999998201e-01,-3.932920104148376894e-02,-2.935769247364118373e-01,7.000000000000000000e+00,1.000000000000000000e+00,5.901878261857672614e-01,4.507394119274945044e-01,4.098493836794439571e-01,1.289050309275887596e-01
-3.906965974251850326e+01,-3.087999999999998524e-01,-3.681137382812201680e-02,-2.939993794953220663e-01,7.000000000000000000e+00,1.000000000000000000e+00,5.864730753350504422e-01,4.559520484373620342e-01,4.135653225926577692e-01,1.062039954196223740e-01
-3.999988973638799195e+01,-3.326999999999998847e-01,-3.440643778107804057e-02,-2.944143406861773893e-01,7.000000000000000000e+00,1.000000000000000000e+00,5.829451770970892621e-01,4.609512626062637342e-01,4.170940261710841535e-01,8.753619171824197909e-02
-4.093011973025748063e+01,-3.565999999999999170e-01,-3.211433709702316008e-02,-2.948220205377801717e-01,7.000000000000000000e+00,1.000000000000000000e+00,5.796044087885299234e-01,4.657375296110995433e-01,4.204353303780046791e-01,7.217866466381653301e-02
-4.186034972412696931e+01,-3.804999999999999494e-01,-2.991827834314604931e-02,-2.952227360188076632e-01,6.000000000000000000e+00,1.000000000000000000e+00,5.764215603474431848e-01,4.703411833804987952e-01,4.236153992458759898e-01,5.953585656401948201e-02
-4.279057971799645799e+01,-4.043999999999999817e-01,-2.785072863082598341e-02,-2.956165612464420334e-01,6.000000000000000000e+00,1.000000000000000000e+00,5.734543220217971360e-01,4.747047964616502025e-01,4.265873740921892754e-01,4.912940316570003213e-02
-4.372080971186594667e+01,-4.282999999999997920e-01,-2.589298630752028679e-02,-2.960038655260152640e-01,6.000000000000000000e+00,1.000000000000000000e+00,5.706701935741029796e-01,4.788621785273103892e-01,4.293731821205872268e-01,4.055765725902514551e-02
-4.465103970573543535e+01,-4.521999999999998243e-01,-2.404290220929541574e-02,-2.963849565265485597e-01,6.000000000000000000e+00,1.000000000000000000e+00,5.680659103366508811e-01,4.828176851383675361e-01,4.319785000616265802e-01,3.349404711638512971e-02
-4.558126969960492403e+01,-4.760999999999998566e-01,-2.229810469701165587e-02,-2.967601675975301556e-01,6.000000000000000000e+00,1.000000000000000000e+00,5.656378587570145555e-01,4.865761117949178871e-01,4.344072285067601125e-01,2.767079296263472848e-02
-4.651149969347441271e+01,-4.999999999999998890e-01,-2.065587129901638383e-02,-2.971298478857301584e-01,6.000000000000000000e+00,1.000000000000000000e+00,5.633818313203879935e-01,4.901429039714043090e-01,4.366636301848268453e-01,2.286811271667857706e-02
