problem,method,noise_std,seed,d_true,d_guess,phi_true,phi_guess,success,failure_reason,time_s,peak_rss_mib,objective,estimate,error_abs,error_rel,log_tail
infer_phi0,CG,0.0,20260211,,,0.5,0.2,True,,3.2491687910005567,304.375,6.710844840269936e-26,0.5000000000003664,3.6637359812630166e-13,7.327471962526033e-13,"step 0\nstep 0\nj = 0.0450000000001049, phi0 = [0.2]\nj = 6.710844840269936e-26, phi0 = [0.5]\nj = 6.710844840269936e-26, phi0 = [0.5]"
infer_phi0,CG,0.0,20260211,,,0.5,10.0,True,,3.7728840410018165,308.609375,2.2643396286193924e-24,0.4999999999978719,2.1280754936015e-12,4.256150987203e-12,"step 0\nstep 0\nj = 45.12499999999843, phi0 = [10.]\nj = 36.04004999999681, phi0 = [8.99]\nj = 9.90124999999907, phi0 = [4.95]\nj = 2.2643396286193924e-24, phi0 = [0.5]\nj = 2.2643396286193924e-24, phi0 = [0.5]"
infer_phi0,CG,0.0,20260211,,,1.5,0.2,True,,3.6007362919990555,307.9375,2.081396320851854e-28,1.4999999999999796,2.042810365310288e-14,1.3618735768735254e-14,"step 0\nstep 0\nj = 0.845000000000403, phi0 = [0.2]\nj = 0.04204999999999794, phi0 = [1.21]\nj = 2.081396320851854e-28, phi0 = [1.5]\nj = 2.081396320851854e-28, phi0 = [1.5]"
infer_phi0,CG,0.0,20260211,,,1.5,10.0,True,,4.792139332999795,314.296875,3.610058924020125e-28,1.5000000000000269,2.6867397195928788e-14,1.7911598130619193e-14,"step 0\nstep 0\nj = 36.12499999999888, phi0 = [10.]\nj = 28.050049999997984, phi0 = [8.99]\nj = 5.951249999999737, phi0 = [4.95]\nj = 0.4940179999999716, phi0 = [0.506]\nj = 28.050049999997984, phi0 = [8.99]\nj = 20.995199999998015, phi0 = [7.98]\nj = 9.945799999999613, phi0 = [5.96]\nj = 0.0881999999999958, phi0 = [1.92]\nj = 3.610058924020125e-28, phi0 = [1.5]\nj = 3.610058924020125e-28, phi0 = [1.5]"
infer_D,SLSQP,0.0,20260211,"[1.0, 3.0]","[0.3, 0.3]",,,True,,4.8069715420024295,313.0625,4.4109158940947784e-07,"[1.1056721858129637, 2.1330521342397284]",0.8733643070338858,0.2761820437321694,"j = 0.00017349582522432474, m = [-1.20317631], [-1.20277432], D = [0.30023904], [0.30035976]\nj = 0.00017206618062802552, m = [-1.1998616], [-1.1977875], D = [0.3012359], [0.30186134]\nj = 0.00016509833664324775, m = [-1.18339233], [-1.17301365], D = [0.30623811], [0.30943301]\nj = 0.0001343938678198419, m = [-1.1036342], [-1.05305429], D = [0.33166356], [0.34887057]\nj = 4.9287876951133175e-05, m = [-0.76372883], [-0.54189206], D = [0.46592583], [0.5816467]\nj = 1.6065598330094515e-05, m = [-0.47132309], [-0.10221061], D = [0.62417588], [0.90283938]\nj = 4.802833201512052e-06, m = [-0.24303514], [0.24104823], D = [0.78424395], [1.27258241]\nj = 1.401629885336932e-06, m = [-0.07636059], [0.49166633], D = [0.92648207], [1.63503846]\nj = 5.775719780024536e-07, m = [0.03072227], [0.65268566], D = [1.03119907], [1.92069224]\nj = 4.4923422662293004e-07, m = [0.08434788], [0.73332804], D = [1.08800733], [2.08199807]\nj = 4.4109158940947784e-07, m = [0.10045346], [0.75755388], D = [1.10567219], [2.13305213]\nj = 4.4109158940947784e-07, m = [0.10045346], [0.75755388], D = [1.10567219], [2.13305213]"
infer_D,SLSQP,0.0,20260211,"[1.0, 3.0]","[10.0, 10.0]",,,True,,2.539031291002175,294.21875,3.0285916974059464e-05,"[10.000000000000002, 10.000000000000002]",11.401754250991383,3.60555127546399,"step 0\nstep 0\nj = 3.0285916974059464e-05, m = [2.30258509], [2.30258509], D = [10.], [10.]\nj = 3.0285916974059464e-05, m = [2.30258509], [2.30258509], D = [10.], [10.]"
infer_D,SLSQP,0.0,20260211,"[0.5, 2.0]","[0.3, 0.3]",,,True,,7.055018250001012,325.21875,5.1905626214632205e-09,"[0.4994508244166269, 2.023997212412875]",0.024003495524819087,0.011643405580337638,"j = 1.8062501881502687e-05, m = [-1.04143758], [0.05003216], D = [0.35294693], [1.05130491]\nj = 1.789129334361635e-05, m = [-1.03554084], [0.08182471], D = [0.35503431], [1.08526555]\nj = 1.7530726841388065e-05, m = [-1.02532949], [0.12741327], D = [0.35867827], [1.13588634]\nj = 1.6496870942976836e-05, m = [-0.99971798], [0.22246115], D = [0.36798321], [1.24914729]\nj = 1.3862650899265873e-05, m = [-0.93913744], [0.41320992], D = [0.39096492], [1.51166233]\nj = 8.008362861110097e-06, m = [-0.78713423], [0.83901806], D = [0.45514727], [2.31409355]\nj = 4.995268276099033e-06, m = [-0.65445428], [1.16546459], D = [0.51972561], [3.20741266]\nj = 3.655477238836917e-06, m = [-0.65654107], [1.11397081], D = [0.51864218], [3.0464312]\nj = 4.685035381970991e-07, m = [-0.7356647], [0.68119074], D = [0.47918684], [1.9762295]\nj = 1.1355654687858628e-07, m = [-0.70858958], [0.71280073], D = [0.49233811], [2.03969589]\nj = 5.1905626214632205e-09, m = [-0.69424614], [0.70507437], D = [0.49945082], [2.02399721]\nj = 5.1905626214632205e-09, m = [-0.69424614], [0.70507437], D = [0.49945082], [2.02399721]"
infer_D,SLSQP,0.0,20260211,"[0.5, 2.0]","[10.0, 10.0]",,,True,,2.6293811659998028,300.921875,9.285178036008254e-05,"[10.000000000000002, 10.000000000000002]",12.419742348374223,6.024459946506312,"step 0\nstep 0\nj = 9.285178036008254e-05, m = [2.30258509], [2.30258509], D = [10.], [10.]\nj = 9.285178036008254e-05, m = [2.30258509], [2.30258509], D = [10.], [10.]"
infer_phi0,SLSQP,0.0,20260211,,,0.5,0.2,True,,3.329431291000219,300.953125,6.710844840269936e-26,0.5000000000003664,3.6637359812630166e-13,7.327471962526033e-13,"step 0\nstep 0\nj = 0.0450000000001049, phi0 = [0.2]\nj = 6.710844840269936e-26, phi0 = [0.5]\nj = 6.710844840269936e-26, phi0 = [0.5]"
infer_phi0,SLSQP,0.0,20260211,,,0.5,10.0,True,,3.4714158749993658,309.890625,7.359920329127439e-25,0.5000000000012133,1.213251721310371e-12,2.426503442620742e-12,"step 0\nstep 0\nj = 45.12499999999843, phi0 = [10.]\nj = 7.359920329127439e-25, phi0 = [0.5]\nj = 7.359920329127439e-25, phi0 = [0.5]"
