evaluation,iteration,objective,grad_norm,n_failed_points,used_anisotropy_recovery,k0_0,k0_1,grad_0,grad_1,effective_k0_0,effective_k0_1
20,14,0.00022118885311904954,7.192337049952365e-05,0,0,0.0012671934147275717,1e-08,-0.02460952708388299,178.23422432218229,0.0012671934147275717,1e-08
21,14,0.00022088990749282946,2.5635976510134965e-05,0,0,0.0013055924406328737,1.2080382892866225e-08,-0.008417990296336688,147.28860540988083,0.0013055924406328737,1.2080382892866225e-08
22,15,0.0005242679913142474,0.002962743483937072,0,1,0.0013052601208610537,1e-08,-0.9857827358086751,80.76620984770872,0.0006544364796238905,1.8114191933636645e-06
23,15,0.00022088984176726187,2.5582041530820365e-05,0,0,0.0013055923797634763,1.2079964756945276e-08,-0.008399815866269908,147.29350375126486,0.0013055923797634763,1.2079964756945276e-08
24,15,0.00022072343854305244,2.568096984277723e-05,0,0,0.0013054262397413897,1.0990889298389484e-08,-0.008434899108798292,161.39275990275965,0.0013054262397413897,1.0990889298389484e-08
25,15,0.00022061385765399948,2.5804985352220908e-05,0,0,0.0013053165989084313,1.0326452779034647e-08,-0.00847769154713633,171.5459762078696,0.0013053165989084313,1.0326452779034647e-08
26,15,0.00022057660971924818,2.5856614560530332e-05,0,0,0.0013052793231229764,1.0109819354955087e-08,-0.008495405870827852,175.16058810976196,0.0013052793231229764,1.0109819354955087e-08
27,16,0.000514684229182319,0.002904044882673244,0,1,0.001327539290448098,1e-08,-0.9500362275942004,79.13446042337621,0.0006655914158534424,1.826770629393348e-06
28,16,0.00022057660447646486,2.577275796451477e-05,0,0,0.0013052818485191657,1.0109806721275122e-08,-0.008467133993713426,175.16072525000664,0.0013052818485191657,1.0109806721275122e-08
29,16,0.0005198403894401688,0.00293564546904333,0,1,0.001316363528444144,1.005475346354902e-08,-0.9685275738021072,79.9739625989306,0.000660000810039727,1.8240731943868279e-06
30,16,0.0002205765979229247,2.5771999147721744e-05,0,0,0.0013052824745245176,1.0109803589593998e-08,-0.008466874257493283,175.16076415167103,0.0013052824745245176,1.0109803589593998e-08
31,16,0.00022057658819270667,2.5771581452363516e-05,0,0,0.0013052829615997174,1.0109801152932502e-08,-0.008466730366093307,175.16079290934977,0.0013052829615997174,1.0109801152932502e-08
